"teamShortName";"teamName";"city";"position";"firstName";"lastName";"nationality";"overall";"seasonsPlayed";"khlGamesPlayed";"contractType";"2025/2026";"2026/2027";"2027/2028";"2028/2029";"2029/2030";"playerId"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Егор";"Рыков";"Россия";"72";"11";"327";"односторонний";"5";"5";"";"";"";"amur-player-yegor-rykov"
"AMR";"Амур";"Хабаровск";"ПНП";"Кирилл";"Ураков";"Россия";"72";"11";"466";"односторонний";"5";"5";"";"";"";"amur-player-urakov"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Алексей";"Соловьев";"Россия";"71";"6";"218";"односторонний";"35";"35";"";"";"";"amur-player-alexei-solovyov"
"AMR";"Амур";"Хабаровск";"ПНП";"Андрей";"Крутов";"Россия";"71";"3";"36";"двухсторонний";"1";"1";"";"";"";"amur-player-andrei-krutov"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Егор";"Воронков";"Россия";"71";"12";"542";"односторонний";"5";"5";"5";"";"";"amur-player-yegor-voronkov"
"AMR";"Амур";"Хабаровск";"ПНП";"Александр";"Филатьев";"Россия";"70";"4";"95";"двухсторонний";"3";"";"";"";"";"amur-player-filatyev"
"AMR";"Амур";"Хабаровск";"ВРТ";"Александр";"Трушков";"Россия";"69";"9";"131";"односторонний";"20";"20";"";"";"";"goalie-player-alexander-trushkov"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Рауль";"Акмальдинов";"Россия";"69";"5";"46";"двухсторонний";"2";"2";"";"";"";"amur-player-akmaldinov"
"AMR";"Амур";"Хабаровск";"ЦТР";"Иван";"Климович";"Россия";"68";"5";"143";"двухсторонний";"0,7";"0,7";"";"";"";"sib-player-ivan-klimovich"
"AMR";"Амур";"Хабаровск";"ВРТ";"Виктор";"Кобозев";"Россия";"66";"1";"12";"двухсторонний";"0,5";"0,5";"0,5";"";"";"goalie-player-viktor-kobozev"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Иван";"Шерстнев";"Россия";"62";"2";"12";"трехсторонний";"0,5";"0,5";"";"";"";"amur-player-ivan-sherstnyov"
"AVG";"Авангард";"Омск";"ЗАЩ";"Дамир";"Шарипзянов";"Россия";"82";"9";"512";"односторонний";"60";"85";"80";"70";"70";"c4d5e6f7-a8b9-4c0d-1e2f-3a4b5c6d7e8f"
"AVG";"Авангард";"Омск";"ЗАЩ";"Семен";"Чистяков";"Россия";"81";"6";"303";"односторонний";"45";"60";"";"";"";"a9b0c1d2-e3f4-4a5b-6c7d-8e9f0a1b2c3d"
"AVG";"Авангард";"Омск";"ЛНП";"Константин";"Окулов";"Россия";"80";"13";"582";"односторонний";"85";"85";"85";"";"";"d8e9f0a1-b2c3-4d4e-9f5a-6b7c8d9e0f1a"
"AVG";"Авангард";"Омск";"ЗАЩ";"Максим";"Лажуа";"Канада";"80";"1";"52";"односторонний";"40";"50";"";"";"";"e7f8a9b0-c1d2-4e3f-5a6b-7c8d9e0f1a2b"
"AVG";"Авангард";"Омск";"ВРТ";"Никита";"Серебряков";"Россия";"80";"11";"311";"односторонний";"50";"50";"70";"70";"70";"goalie-player-nikita-serebryakov"
"AVG";"Авангард";"Омск";"ЛНП";"Джошуа";"Ливо";"Канада";"79";"3";"151";"односторонний";"70";"70";"";"";"";"a1b2c3d4-e5f6-4a7b-8c8d-9e0f1a2b3c60"
"AVG";"Авангард";"Омск";"ЦТР";"Эндрю";"Потуральски";"США";"79";"1";"52";"односторонний";"70";"70";"";"";"";"e9f0a1b2-c3d4-4e5f-8a6b-7c8d9e0f1a2b"
"AVG";"Авангард";"Омск";"ЦТР";"Майкл";"Маклауд";"Канада";"78";"2";"74";"односторонний";"55";"95";"95";"";"";"f0a1b2c3-d4e5-4f6a-8b7c-9d0e1f2a3b4d"
"AVG";"Авангард";"Омск";"ПНП";"Дмитрий";"Рашевский";"Россия";"77";"6";"307";"односторонний";"50";"65";"";"";"";"a1b2c3d4-e5f6-4a7b-8c8d-9e0f1a2b3c4d"
"AVG";"Авангард";"Омск";"ПНП";"Наиль";"Якупов";"Россия";"77";"9";"343";"односторонний";"7";"35";"";"";"";"d4e5f6a7-b8c9-4d0e-8f1a-2b3c4d5e6f7a"
"AVG";"Авангард";"Омск";"ЦТР";"Николай";"Прохоркин";"Россия";"77";"15";"555";"односторонний";"35";"35";"";"";"";"b2c3d4e5-f6a7-4b8c-9d9e-0f1a2b3c4d5e"
"AVG";"Авангард";"Омск";"ПНП";"Александр";"Волков";"Россия";"76";"5";"252";"односторонний";"70";"70";"70";"";"";"e5f6a7b8-c9d0-4e1f-8a2b-3c4d5e6f7a8c"
"AVG";"Авангард";"Омск";"ВРТ";"Иван";"Просветов";"Россия";"76";"2";"38";"односторонний";"20";"20";"";"";"";"goalie-player-ivan-prosvetov"
"AVG";"Авангард";"Омск";"ЦТР";"Седрик";"Пакетт";"Россия";"76";"4";"199";"односторонний";"60";"15";"";"";"";"39000000-0000-4000-8000-000000000014"
"AVG";"Авангард";"Омск";"ЦТР";"Артём";"Ильенко";"Россия";"75";"11";"476";"односторонний";"25";"40";"40";"40";"";"39000000-0000-4000-8000-000000000007"
"AVG";"Авангард";"Омск";"ЦТР";"Василий";"Пономарев";"Россия";"75";"2";"53";"односторонний";"50";"55";"60";"";"";"c3d4e5f6-a7b8-4c9d-8e0f-1a2b3c4d5e6f"
"AVG";"Авангард";"Омск";"ЗАЩ";"Кирилл";"Адамчук";"Россия";"74";"9";"335";"односторонний";"20";"40";"35";"30";"";"39000000-0000-4000-8000-000000000001"
"AVG";"Авангард";"Омск";"ЗАЩ";"Михаил";"Гуляев";"Россия";"74";"4";"184";"двухсторонний";"18";"5";"30";"";"";"c7d8e9f0-a1b2-4c3d-8e4f-5a6b7c8d9e0f"
"AVG";"Авангард";"Омск";"ЗАЩ";"Джозеф";"Чеккони";"США";"72";"1";"40";"односторонний";"20";"5";"";"";"";"a5b6c7d8-e9f0-4a1b-8c2d-3e4f5a6b7c8d"
"AVG";"Авангард";"Омск";"ЦТР";"Иван";"Игумнов";"Россия";"71";"11";"492";"односторонний";"30";"";"";"";"";"c0d1e2f3-a4b5-4c6d-8e7f-9a0b1c2d3e40"
"AVG";"Авангард";"Омск";"ЗАЩ";"Марсель";"Ибрагимов";"Россия";"69";"8";"170";"односторонний";"12";"30";"30";"";"";"b6c7d8e9-f0a1-4b2c-9d3e-4f5a6b7c8d9e"
"AVG";"Авангард";"Омск";"ЦТР";"Павел";"Леука";"Россия";"66";"2";"16";"двухсторонний";"0,5";"0,5";"";"";"";"d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f70"
"AVG";"Авангард";"Омск";"ВРТ";"Сергей";"Долгов";"Россия";"66";"0";"0";"двухсторонний";"0,5";"0,5";"";"";"";"goalie-player-sergey-dolgov"
"AVT";"Автомобилист";"Екатеринбург";"ЛНП";"Даниэль";"Спронг";"Нидерланды";"81";"1";"52";"односторонний";"35";"90";"";"";"";"avt-add-player-sprong"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Никита";"Трямкин";"Россия";"80";"13";"663";"односторонний";"55";"55";"55";"";"";"b7c8d9e0-1f2a-4b3c-9d4e-5f6a7b8c9d0e"
"AVT";"Автомобилист";"Екатеринбург";"ЦТР";"Адам";"Ружичка";"Словакия";"79";"2";"116";"односторонний";"75";"75";"";"";"";"added-player-ruzicka"
"AVT";"Автомобилист";"Екатеринбург";"ЛНП";"Александр";"Барабанов";"Россия";"79";"9";"384";"односторонний";"95";"100";"100";"";"";"35000000-0000-4000-8000-000000000002"
"AVT";"Автомобилист";"Екатеринбург";"ВРТ";"Владимир";"Галкин";"Россия";"78";"7";"168";"односторонний";"20";"20";"";"";"";"goalie-player-vladimir-galkin"
"AVT";"Автомобилист";"Екатеринбург";"ЦТР";"Александр";"Шаров";"Россия";"77";"10";"570";"односторонний";"60";"60";"60";"";"";"f7a8b9c0-d1e2-3f4a-5b6c-7d8e9f0a1b2c"
"AVT";"Автомобилист";"Екатеринбург";"ПНП";"Анатолий";"Голышев";"Россия";"77";"13";"568";"односторонний";"40";"40";"38";"35";"";"f2a6b8c9-7d4e-4a2b-9f3c-1e2d3c4b5a6f"
"AVT";"Автомобилист";"Екатеринбург";"ПНП";"Антон";"Слепышев";"Россия";"77";"12";"508";"односторонний";"10";"20";"";"";"";"39000000-0000-4000-8000-000000000021"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Джесси";"Блэкер";"Казахстан";"77";"9";"444";"односторонний";"46";"46";"";"";"";"d9e0f1a2-b3c4-4d5e-9f0a-1b2c3d4e5f6a"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Джордан";"Гросс";"США";"77";"2";"117";"односторонний";"70";"66";"66";"";"";"f3a4b5c6-d7e8-4f9a-8b0c-1d2e3f4a5b10"
"AVT";"Автомобилист";"Екатеринбург";"ВРТ";"Евгений";"Аликин";"Россия";"77";"11";"313";"односторонний";"40";"40";"40";"";"";"goalie-player-alikin"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Кейл";"Клэг";"США";"77";"0";"0";"односторонний";"55";"55";"55";"";"";"added-player-clague"
"AVT";"Автомобилист";"Екатеринбург";"ЛНП";"Роман";"Горбунов";"Беларусь";"77";"6";"311";"односторонний";"55";"55";"55";"";"";"e1f2a3b4-c5d6-7e8f-9a0b-1c2d3e4f5a6b"
"AVT";"Автомобилист";"Екатеринбург";"ЦТР";"Александр";"Кадейкин";"Россия";"76";"14";"662";"односторонний";"70";"60";"60";"";"";"c3d4e5f6-a7b8-4c9d-8e0f-1a2b3c4d5ea0"
"AVT";"Автомобилист";"Екатеринбург";"ПНП";"Максим";"Денежкин";"Россия";"76";"7";"117";"односторонний";"7";"18";"18";"";"";"a3b4c5d6-e7f8-9a0b-1c2d-3e4f5a6b7c8d"
"AVT";"Автомобилист";"Екатеринбург";"ЛНП";"Никита";"Шашков";"Россия";"76";"8";"301";"односторонний";"17";"23";"23";"";"";"b1c2d3e4-f5a6-7b8c-9d0e-1f2a3b4c5d6e"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Ярослав";"Бусыгин";"Россия";"76";"5";"215";"односторонний";"15";"15";"";"";"";"c9d0e1f2-3a4b-5c6d-7e8f-9a0b1c2d3e4f"
"AVT";"Автомобилист";"Екатеринбург";"ЛНП";"Даниил";"Гущин";"Россия";"75";"0";"0";"односторонний";"35";"35";"";"";"";"external-rights-gushchin"
"AVT";"Автомобилист";"Екатеринбург";"ЦТР";"Данил";"Романцев";"Россия";"75";"12";"561";"односторонний";"20";"";"";"";"";"f9a0b1c2-d3e4-5f6a-7b8c-9d0e1f2a3b4c"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Илья";"Карпухин";"Россия";"75";"8";"438";"односторонний";"25";"70";"70";"70";"";"35000000-0000-4000-8000-000000000007"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Кирилл";"Воробьев";"Россия";"74";"12";"512";"двухсторонний";"35";"35";"";"";"";"e8f9a0b1-c2d3-4e5f-6a7b-8c9d0e1f2a3b"
"AVT";"Автомобилист";"Екатеринбург";"ЦТР";"Артем";"Каштанов";"Россия";"72";"3";"114";"односторонний";"2";"";"";"";"";"b4c5d6e7-f8a9-0b1c-2d3e-4f5a6b7c8d9e"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Артем";"Щучинов";"Россия";"72";"4";"96";"трехсторонний";"2";"2";"";"";"";"avt-add-player-shchuchinov"
"AVT";"Автомобилист";"Екатеринбург";"ЦТР";"Егор";"Черников";"Россия";"71";"2";"73";"двухсторонний";"5";"5";"5";"";"";"avt-add-player-chernikov"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Даниил";"Малоросиянов";"Россия";"68";"3";"85";"двухсторонний";"0,5";"";"";"";"";"e0f1a2b3-c4d5-4e6f-9a0b-1c2d3e4f5a6b"
"AVT";"Автомобилист";"Екатеринбург";"ПНП";"Максим";"Великов";"Россия";"68";"1";"4";"трехсторонний";"0,5";"1";"";"";"";"avt-add-player-velikov"
"AVT";"Автомобилист";"Екатеринбург";"ЦТР";"Лавр";"Гашилов";"Россия";"67";"1";"3";"трехсторонний";"0,5";"0,5";"";"";"";"avt-add-player-gashilov"
"AVT";"Автомобилист";"Екатеринбург";"ВРТ";"Лоренс";"Зинаддин";"Беларусь";"67";"0";"0";"двухсторонний";"0,5";"0,5";"";"";"";"goalie-player-lorens-zinaddin"
"AVT";"Автомобилист";"Екатеринбург";"ЛНП";"Дмитрий";"Исаев";"Россия";"66";"2";"6";"трехсторонний";"0,2";"0,2";"";"";"";"c8d9e0f1-a2b3-4c5d-8e9f-0a1b2c3d4e5f"
"AVT";"Автомобилист";"Екатеринбург";"ЗАЩ";"Михаил";"Гамзаков";"Россия";"66";"0";"0";"трехсторонний";"0,5";"0,5";"";"";"";"avt-add-player-gamzakov"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Даниил";"Пыленков";"Россия";"81";"7";"378";"односторонний";"65";"75";"";"";"";"39000000-0000-4000-8000-000000000017"
"DYN";"Динамо М";"Москва";"ЦТР";"Джордан";"Уил";"Канада";"80";"5";"291";"односторонний";"80";"";"";"";"";"39000000-0000-4000-8000-000000000022"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Игорь";"Ожиганов";"Россия";"80";"15";"700";"односторонний";"35";"50";"";"";"";"39000000-0000-4000-8000-000000000013"
"DYN";"Динамо М";"Москва";"ПНП";"Дилан";"Сикьюра";"Канада";"79";"2";"117";"односторонний";"60";"";"";"";"";"39000000-0000-4000-8000-000000000020"
"DYN";"Динамо М";"Москва";"ЛНП";"Никита";"Гусев";"Россия";"79";"14";"654";"односторонний";"45";"";"";"";"";"39000000-0000-4000-8000-000000000004"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Артем";"Блажиевский";"Россия";"78";"12";"535";"односторонний";"45";"";"";"";"";"c1d2e3f4-a5b6-4c7d-8e9f-1a2b3c4d5e6f"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Артём";"Сергеев";"Россия";"78";"11";"536";"односторонний";"50";"50";"";"";"";"39000000-0000-4000-8000-000000000019"
"DYN";"Динамо М";"Москва";"ВРТ";"Владислав";"Подъяпольский";"Россия";"78";"10";"366";"односторонний";"45";"75";"75";"";"";"goalie-player-vladislav-podyapolsky"
"DYN";"Динамо М";"Москва";"ЛНП";"Семён";"Дер-Аргучинцев";"Россия";"78";"4";"182";"односторонний";"26";"";"";"";"";"39000000-0000-4000-8000-000000000005"
"DYN";"Динамо М";"Москва";"ЦТР";"Максим";"Летунов";"Россия";"77";"4";"256";"односторонний";"35";"";"";"";"";"5b000000-0000-4000-8000-000000000012"
"DYN";"Динамо М";"Москва";"ПНП";"Ник";"Меркли";"Канада";"77";"4";"259";"односторонний";"35";"45";"";"";"";"added-player-merkley"
"DYN";"Динамо М";"Москва";"ВРТ";"Максим";"Моторыгин";"Россия";"76";"4";"100";"односторонний";"20";"25";"";"";"";"goalie-player-maxim-motorygin"
"DYN";"Динамо М";"Москва";"ЦТР";"Артём";"Швец-Роговой";"Россия";"75";"12";"370";"односторонний";"30";"";"";"";"";"39000000-0000-4000-8000-000000000025"
"DYN";"Динамо М";"Москва";"ЛНП";"Булат";"Шафигуллин";"Россия";"75";"9";"366";"односторонний";"25";"";"";"";"";"neftekhimik-player-shafigullin"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Лука";"Профака";"Канада";"75";"2";"100";"односторонний";"20";"25";"";"";"";"neftekhimik-player-profaca"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Магомед";"Шараканов";"Россия";"75";"3";"124";"двухсторонний";"2";"";"";"";"";"39000000-0000-4000-8000-000000000024"
"DYN";"Динамо М";"Москва";"ЦТР";"Павел";"Шэн";"Россия";"75";"9";"312";"односторонний";"20";"20";"";"";"";"admiral-player-pavel-shen"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Сергей";"Зборовский";"Россия";"75";"8";"342";"односторонний";"35";"35";"";"";"";"added-player-zborovsky"
"DYN";"Динамо М";"Москва";"ЛНП";"Никита";"Тертышный";"Россия";"74";"7";"277";"односторонний";"19";"";"";"";"";"admiral-player-nikita-tertyshny"
"DYN";"Динамо М";"Москва";"ЗАЩ";"Кирилл";"Готовец";"Беларусь";"73";"9";"404";"односторонний";"30";"";"";"";"";"39000000-0000-4000-8000-000000000026"
"DYN";"Динамо М";"Москва";"ЛНП";"Егор";"Римашевский";"Россия";"72";"3";"160";"двухсторонний";"9";"";"";"";"";"39000000-0000-4000-8000-000000000018"
